max_depth,learning_rate,n_estimators,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,mean_outer_R2,std_outer_R2,median_best_rounds,fold_1_R2,fold_2_R2,fold_3_R2,fold_4_R2,fold_5_R2,fold_1_best_rounds,fold_2_best_rounds,fold_3_best_rounds,fold_4_best_rounds,fold_5_best_rounds
5,0.02,900,1.0,1.0,3,1.0,0.0,0.7624131030008905,0.14550503557677855,109,0.537445670579223,0.885340902449709,0.9205705835894057,0.81666029162299,0.6520480667631251,109,201,255,103,35
5,0.02,1200,1.0,1.0,3,1.0,0.0,0.7624131030008905,0.14550503557677855,109,0.537445670579223,0.885340902449709,0.9205705835894057,0.81666029162299,0.6520480667631251,109,201,255,103,35
5,0.02,600,1.0,0.8,3,2.0,0.1,0.7623031696827802,0.14616925692760294,137,0.5337706765967883,0.8917779755524077,0.9121151660265595,0.8209045790706917,0.6529474511674542,128,237,271,137,46
5,0.02,900,1.0,0.8,3,2.0,0.1,0.7623031696827802,0.14616925692760294,137,0.5337706765967883,0.8917779755524077,0.9121151660265595,0.8209045790706917,0.6529474511674542,128,237,271,137,46
5,0.02,1200,1.0,0.8,3,2.0,0.1,0.7623031696827802,0.14616925692760294,137,0.5337706765967883,0.8917779755524077,0.9121151660265595,0.8209045790706917,0.6529474511674542,128,237,271,137,46
5,0.02,600,1.0,0.8,3,2.0,0.0,0.7616548321164529,0.14026633727438503,128,0.545759969545533,0.8938891362981215,0.9051620715653572,0.8088404521027627,0.6546225310704901,128,237,305,127,46
5,0.02,900,1.0,0.8,3,2.0,0.0,0.7616548321164529,0.14026633727438503,128,0.545759969545533,0.8938891362981215,0.9051620715653572,0.8088404521027627,0.6546225310704901,128,237,305,127,46
5,0.02,1200,1.0,0.8,3,2.0,0.0,0.7616548321164529,0.14026633727438503,128,0.545759969545533,0.8938891362981215,0.9051620715653572,0.8088404521027627,0.6546225310704901,128,237,305,127,46
7,0.05,600,1.0,1.0,3,1.0,0.1,0.7610900560404801,0.1319963704496387,44,0.5470603016712134,0.8773072751072801,0.8939931477029828,0.8125416109404012,0.6745479447805227,44,73,192,41,15
7,0.05,900,1.0,1.0,3,1.0,0.1,0.7610900560404801,0.1319963704496387,44,0.5470603016712134,0.8773072751072801,0.8939931477029828,0.8125416109404012,0.6745479447805227,44,73,192,41,15
7,0.05,1200,1.0,1.0,3,1.0,0.1,0.7610900560404801,0.1319963704496387,44,0.5470603016712134,0.8773072751072801,0.8939931477029828,0.8125416109404012,0.6745479447805227,44,73,192,41,15
5,0.1,600,1.0,1.0,3,1.0,0.0,0.7608566268168,0.13928074152313713,20,0.6468667709102196,0.887965625737976,0.9012185842272188,0.8189595724761873,0.5492725807323982,19,40,77,20,5
5,0.1,900,1.0,1.0,3,1.0,0.0,0.7608566268168,0.13928074152313713,20,0.6468667709102196,0.887965625737976,0.9012185842272188,0.8189595724761873,0.5492725807323982,19,40,77,20,5
5,0.1,1200,1.0,1.0,3,1.0,0.0,0.7608566268168,0.13928074152313713,20,0.6468667709102196,0.887965625737976,0.9012185842272188,0.8189595724761873,0.5492725807323982,19,40,77,20,5
5,0.05,600,1.0,1.0,3,1.0,0.1,0.7605777220347321,0.13145076679242823,44,0.5470603016712134,0.8790441556497794,0.8896945971317434,0.8125416109404012,0.6745479447805227,44,74,206,41,15
5,0.05,900,1.0,1.0,3,1.0,0.1,0.7605777220347321,0.13145076679242823,44,0.5470603016712134,0.8790441556497794,0.8896945971317434,0.8125416109404012,0.6745479447805227,44,74,206,41,15
5,0.05,1200,1.0,1.0,3,1.0,0.1,0.7605777220347321,0.13145076679242823,44,0.5470603016712134,0.8790441556497794,0.8896945971317434,0.8125416109404012,0.6745479447805227,44,74,206,41,15
5,0.1,600,0.8,1.0,1,2.0,0.1,0.760530151478892,0.16626884799113076,36,0.49958462477138144,0.927736591833866,0.9320259722439159,0.7914451078914976,0.6518584606537992,24,58,167,36,10
5,0.1,900,0.8,1.0,1,2.0,0.1,0.760530151478892,0.16626884799113076,36,0.49958462477138144,0.927736591833866,0.9320259722439159,0.7914451078914976,0.6518584606537992,24,58,167,36,10
